"position.disgap","Type","MinLateralSpeed"
175,"P85",0.236781621810174
185,"P85",0.249999192782998
195,"P85",0.190587311472352
-195,"Median",0.00534338670107701
-185,"Median",0.00513766587577989
-175,"Median",0.00512647925467727
-165,"Median",0.0049187325530305
-155,"Median",0.0051183196732268
-145,"Median",0.00511425194975847
-135,"Median",0.00527210483471995
-125,"Median",0.00458471055773986
-115,"Median",0.00457145575974125
-105,"Median",-0.128154410183149
-95,"Median",-0.128362045025284
-85,"Median",0.00514685960302594
-75,"Median",-0.128907993367388
-65,"Median",-0.231969801248418
-55,"Median",-0.0989454307030165
-45,"Median",-0.0988025719694297
-35,"Median",-0.098660728791787
-25,"Median",-0.252539884040445
-15,"Median",-0.252542322014638
-5,"Median",-0.252345791246141
5,"Median",-0.239022529531844
15,"Median",-0.135405062682743
25,"Median",-0.0962554355738873
35,"Median",-0.0524183746988466
45,"Median",0.017252448954931
55,"Median",0.0807320510980381
65,"Median",0.0685172633656527
75,"Median",0.0915945954187236
85,"Median",0.119694068740695
95,"Median",0.0776677190281706
105,"Median",0.00326482025961364
115,"Median",-0.0772611653589327
125,"Median",-0.198832353088319
135,"Median",-0.30130936752672
145,"Median",-0.126770105686556
155,"Median",-0.0295304651714485
165,"Median",0.0269432581715856
175,"Median",0.134505777468666
185,"Median",0.0883098091561081
195,"Median",0.0313553369432189
-195,"Avg",0.0411899751509882
-185,"Avg",0.00511765564616473
-175,"Avg",0.00510712713001764
-165,"Avg",-0.0302464490509291
-155,"Avg",0.0135080415173153
-145,"Avg",0.0136525949964747
-135,"Avg",0.0412543028066902
-125,"Avg",-0.083929990383269
-115,"Avg",-0.0862638220599659
-105,"Avg",-0.130257345963068
-95,"Avg",-0.173250433712917
-85,"Avg",-0.137765807772743
-75,"Avg",-0.26142757950328
-65,"Avg",-0.337113404718411
-55,"Avg",-0.336790227288425
-45,"Avg",-0.336249582339692
-35,"Avg",-0.335736562489549
-25,"Avg",-0.421099566428939
-15,"Avg",-0.363237919713728
-5,"Avg",-0.356886909564362
5,"Avg",-0.37685956031077
15,"Avg",-0.245234499011344
25,"Avg",-0.107702851413691
35,"Avg",-0.0330066808789785
45,"Avg",0.0473114549633393
55,"Avg",0.0921848670609007
65,"Avg",0.0632828934682405
75,"Avg",0.0601152472595667
85,"Avg",0.0667740259660833
95,"Avg",0.0444725266219913
105,"Avg",-0.0183113307293882
115,"Avg",-0.0495230118303763
125,"Avg",-0.197836236901465
135,"Avg",-0.291015533757419
145,"Avg",-0.033301377663042
155,"Avg",-0.0919152235200516
165,"Avg",0.015043470615601
175,"Avg",0.157877358399519
185,"Avg",0.0939585485261716
195,"Avg",0.0571331177106419
-195,"Min",0.00491060317882182
-185,"Min",0.00439326121900646
-175,"Min",0.00437694899400133
-165,"Min",-0.256360717564836
-155,"Min",-0.209641984961216
-145,"Min",-0.208947977595911
-135,"Min",-0.254303621508407
-125,"Min",-0.268899217630906
-115,"Min",-0.513685782663573
-105,"Min",-0.514333852531979
-95,"Min",-0.774363544345334
-85,"Min",-0.774481921293184
-75,"Min",-0.795841101985055
-65,"Min",-0.797164337154839
-55,"Min",-1.06607873868641
-45,"Min",-1.06733301815528
-35,"Min",-1.0684476837363
-25,"Min",-1.06953782899061
-15,"Min",-0.998702860124885
-5,"Min",-0.842799472465549
5,"Min",-0.989267671128326
15,"Min",-0.837387569851998
25,"Min",-0.315233162662542
35,"Min",-0.263917787741194
45,"Min",-0.0918655036880089
55,"Min",-0.0915054348051128
65,"Min",-0.0770580508644005
75,"Min",-0.139040066267682
85,"Min",-0.15258005790411
95,"Min",-0.230950017980657
105,"Min",-0.43976751810522
115,"Min",-0.491804374263346
125,"Min",-0.77478949077937
135,"Min",-0.774501849449755
145,"Min",-0.401042634253743
155,"Min",-0.482041738349032
165,"Min",-0.223948448261772
175,"Min",0.0726981279958208
185,"Min",-0.15193070873164
195,"Min",-0.15125898764601
